                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.69049,                0.45802,                0.98711,                0.76505,                0.86346,                0.85119,                0.58918,                 1.0972,                0.96021,                 1.2239,             0.00018709,             0.00018709,             0.00018709
                     87,                0.67173,                0.46226,                0.98421,                0.82823,                 0.8811,                0.87348,                0.60776,                 1.0272,                0.89297,                 1.1683,             0.00017609,             0.00017609,             0.00017609
                     88,                0.66632,                0.44264,                 0.9807,                0.78335,                0.91994,                0.87699,                0.60725,                 1.0526,                0.86261,                  1.183,             0.00016509,             0.00016509,             0.00016509
                     89,                0.64406,                0.42721,                0.97028,                0.84391,                0.88313,                0.86241,                0.59491,                 1.0673,                0.88104,                 1.2084,              0.0001541,              0.0001541,              0.0001541
                     90,                0.66693,                 0.4514,                0.99289,                0.78717,                0.91376,                 0.8806,                0.59121,                 1.0545,                0.89041,                 1.1915,              0.0001431,              0.0001431,              0.0001431
                     91,                0.65715,                 0.3934,                0.96179,                0.85534,                0.84134,                0.86379,                0.59176,                 1.0551,                0.89841,                 1.1772,              0.0001321,              0.0001321,              0.0001321
                     92,                0.63963,                0.40207,                0.95687,                0.73696,                0.91215,                0.84149,                0.57341,                 1.0458,                0.93307,                 1.1882,              0.0001211,              0.0001211,              0.0001211
                     93,                0.63778,                0.36957,                0.96559,                0.78169,                0.90703,                0.84615,                0.58701,                 1.0378,                0.91761,                 1.1775,              0.0001101,              0.0001101,              0.0001101
                     94,                0.60816,                0.35205,                 0.9441,                 0.8151,                0.90047,                 0.8533,                0.61099,                 1.0333,                0.88444,                 1.1797,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.60714,                0.35126,                0.94662,                0.79658,                0.91196,                  0.873,                0.62014,                 1.0463,                0.90699,                 1.2017,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.61806,                0.40048,                0.97117,                0.79141,                0.90698,                0.84181,                0.60116,                 1.0251,                0.93214,                 1.1668,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.59361,                0.34159,                0.93522,                0.78203,                0.89428,                0.84108,                0.60112,                 1.0283,                0.92709,                 1.1726,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.59338,                0.34335,                0.92637,                0.79677,                0.89484,                0.80933,                0.57389,                 1.0342,                0.93342,                 1.1746,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.60414,                0.36526,                0.91363,                0.79382,                0.89562,                0.83462,                0.59725,                  1.021,                0.91118,                 1.1477,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.58282,                0.34381,                0.92595,                0.79775,                0.88784,                0.83578,                0.58905,                 1.0391,                 0.9178,                 1.1786,             3.3108e-05,             3.3108e-05,             3.3108e-05
